id,name,operator,status,pointSource,pointSourceName,mapSource,digitizedBy,digitizedDate,siteType,cameraHeightFeet,notes,longitude,latitude
digitized-camera-99,Portland Willalatin Tank,Pano AI,Operational,PGE_WF_Cameras,Portland Willalatin Tank,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,"no entry for this site in PGE_towers_reduced, camera may be on actual water tank",-122.795787,45.5805
digitized-camera-100,High Compromise,Pano AI,Operational,PGE_WF_Cameras,High Compromise,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,180,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.168735,45.484603
digitized-camera-101,Bald Hill,Pano AI,Operational,PGE_WF_Cameras,Bald Hill,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE_towers_reduced,-122.955,45.782551
digitized-camera-102,Bald Peak,Pano AI,Operational,PGE_WF_Cameras,Bald Peak,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,120,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.050737,45.389184
digitized-camera-103,High Heaven,Pano AI,Operational,PGE_WF_Cameras,High Heaven,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-123.30969,45.264441
digitized-camera-104,Spirit Mountain,Pano AI,Operational,PGE_WF_Cameras,Spirit Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-123.58438,45.065409
digitized-camera-105,Doane Creek,Pano AI,Operational,PGE_WF_Cameras,Doane Creek,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-123.511657,45.023395
digitized-camera-106,West Salem,Pano AI,Operational,PGE_WF_Cameras,West Salem,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,West Salem tower in PGE-towers_reduced appears to be different tower than West Salem tower in PGE_WF_Cameras,-123.143056,44.984537
digitized-camera-107,Eola Hills,Pano AI,Operational,PGE_WF_Cameras,Eola Hills,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,120,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.145852,45.09898
digitized-camera-108,Parrott Mountain,Pano AI,Operational,PGE_WF_Cameras,Parrett Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,150,"name mismatch, height pulled from ""Description"" column of PGE-towers_reduced.csv",-122.893046,45.306441
digitized-camera-109,Pete's Mountain,Pano AI,Operational,PGE_WF_Cameras,Pete's Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,150,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-122.693667,45.344206
digitized-camera-110,Silverton,Pano AI,Operational,PGE_WF_Cameras,Silverton,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,160,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-122.766501,45.002977
digitized-camera-111,Sawtell,Pano AI,Operational,PGE_WF_Cameras,Sawtell,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,150,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-122.555241,45.074846
digitized-camera-112,Colton,Pano AI,Operational,PGE_WF_Cameras,Colton,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,88,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-122.413156,45.176573
digitized-camera-113,Goat Mountain,Joint Site,Operational,PGE_WF_Cameras,Goat Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,structure shown in PGE-towers_reduced appears to be different than one marked in PGE_WF_cameras,-122.2916,45.131078
digitized-camera-114,Portland Lookout Point,Pano AI,Operational,PGE_WF_Cameras,Portland Lookout Point,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-122.129375,45.483544
digitized-camera-115,Day Hill,Pano AI,Operational,PGE_WF_Cameras,Day Hill,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,"two structures of differing heights both marked at this site, unclear which the camera may be on",-122.332978,45.270771
digitized-camera-116,Mill City,Pano AI,Operational,PGE_WF_Cameras,Mill City,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-122.475936,44.761963
digitized-camera-117,Warm Springs,Pano AI,Operational,PGE_WF_Cameras,Warm Springs,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-121.219019,44.754983
digitized-camera-118,Round Butte,Pano AI,Operational,PGE_WF_Cameras,Round Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-121.267773,44.602051
digitized-camera-119,Sycan Substation,Pano AI,Operational,PGE_WF_Cameras,Sycan Substation,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-120.9881,42.853472
digitized-camera-120,Biglow Canyon,Pano AI,Operational,PGE_WF_Cameras,Biglow Canyon,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-120.642863,45.637998
digitized-camera-121,Oak Grove Butte,Joint Site,Operational,PGE_WF_Cameras,Oak Grove Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,no entry for this site in PGE-towers_reduced,-121.990254,45.048245
