Name,County,State,Lat,Long,Type,Status,NHLR/FFLOS
Miners Ridge,Snohomish,WA,48.20709,-121.02891,Tower,Standing,"NHLR US 75, WA 6"
Monument 83,Okanogan,WA,49.00021,-120.64522,Tower/Ground,Standing,"NHLR US 1552, WA 82"
Moses Mountain,Okanogan,WA,48.37187,-119.06126,Tower,Standing,"NHLR US 1555, WA 83"
North Mountain,Skagit,WA,48.31815,-121.60259,Tower,Standing,"NHLR US 1095, WA 61"
North Point,Clallam,WA,48.08442,-124.07233,Ground,Standing,"NHLR US 1556, WA 84"
North Twentymile Peak,Okanogan,WA,48.75112,-120.06842,Tower/Ground,Standing,"NHLR US 161, WA 21"
Omak Mountain,Okanogan,WA,48.44934,-119.30903,Tower,Standing,"NHLR US 1557, WA 84"
Oregon Butte,Columbia,WA,46.10963,-117.67936,Ground,Standing,"NHLR US 144, WA 18"
Park Butte,Whatcom,WA,48.71656,-121.85637,Ground,Standing,"NHLR US 533, WA 52"
Pilchuck Mountain,Snohomish,WA,48.05796,-121.79780,Ground,Standing,"NHLR US 62, WA 4"
Puyallup Ridge,Pierce,WA,46.83416,-122.01716,Tower,Standing,"NHLR US 126, WA 14"
Red Mountain,Skamania,WA,45.93489,-121.82094,Tower,Standing,"NHLR US 189, WA 24"
Red Top Mountain,Kittitas,WA,47.30172,-120.76081,Tower,Standing,"NHLR US 225, WA 28"
Salmo Mountain,Pend Oreille,WA,48.96836,-117.10309,Tower,Standing,"NHLR US 132, WA 16"
Satus Peak,Yakima,WA,46.25742,-120.75337,2-Story cab,Standing,"NHLR US 1559, WA 86"
Shriner Peak,Pierce,WA,46.81362,-121.53054,2-Story cab,Standing,"NHLR US 207, WA 26"
Signal Peak,Yakima,WA,46.22708,-121.13727,Tower,Standing,"NHLR US 1560, WA 87"
Sourdough Mountain,Whatcom,WA,48.74263,-121.10936,Ground,Standing,"NHLR US 208, WA 27"
South Baldy,Pend Oreille,WA,48.42351,-117.13752,Tower,Standing,"NHLR US 143, WA 17"
"Spokane, Mount (Vista House)",Spokane,WA,47.92380,-117.11224,2-Story,Standing,"NHLR US 58, WA 2"
Steliko Point,Chelan,WA,47.74062,-120.34425,Tower,Standing,"NHLR US 1096, WA 62"
Strawberry Mountain (Col BIA),Okanogan,WA,48.45168,-118.93748,Tower,Standing,"NHLR US 1561, WA 88"
Sugarloaf Mountain,Chelan,WA,47.75699,-120.52793,Ground,Standing,"NHLR US 124, WA 12"
Sullivan Mountain,Pend Oreille,WA,48.87773,-117.24889,Tower,Standing,"NHLR US 1403, WA 68"
Suntop Mountain,Pierce,WA,47.04100,-121.59649,Ground,Standing,"NHLR US 92, WA 7"
Table Rock,Columbia,WA,46.03102,-117.91197,2-Story cab,Standing,"NHLR US 1097, WA 63"
Thorp Mountain,Kittitas,WA,47.37079,-121.20857,Ground,Standing,"NHLR US 389, WA 48"
Three Fingers,Snohomish,WA,48.16989,-121.68785,Ground,Standing,"NHLR US 68, WA 5"
Timber Mountain,Pend Oreille,WA,48.52711,-117.45273,Tower,Standing,"NHLR US 150, WA 19"
Tolmie Peak,Pierce,WA,46.95755,-121.88087,2-Story cab,Standing,"NHLR US 1562, WA 89"
Tower Mountain,Stevens,WA,47.98986,-118.14720,Tower,Standing,"NHLR US 1287, WA 67"
Tunk Mountain,Okanogan,WA,48.54558,-119.23625,Tower,Standing,"NHLR US 648, WA 56"
Tyee Mountain,Chelan,WA,47.86421,-120.47129,Ground,Standing,"NHLR US 125, WA 13"
Watch Mountain,Lewis,WA,46.57087,-121.98759,Tower,Standing,"NHLR US 552, WA 53"
Wellpinit Mountain,Stevens,WA,47.88658,-118.02086,Tower,Standing,"NHLR US 1563, WA 90"
Whitestone Ridge,Ferry,WA,48.02173,-118.50943,Tower,Standing,"NHLR US 1564, WA 91"
Whitmore Mountain,Okanogan,WA,48.18018,-119.24706,Tower,Standing,"NHLR US 1565, WA 92"
Winchester Mountain,Whatcom,WA,48.95649,-121.64306,Ground,Standing,"NHLR US 93, WA 8"
